loss,accuracy
0.45462099462747574,82.05383848454636
0.42271343246102333,85.4
0.47390811890363693,84.4
0.4841395504772663,84.0
0.34482668712735176,90.0
0.39289380609989166,88.2
0.3063722960650921,88.8
0.5067422017455101,85.0
0.37256793677806854,88.5
0.4854731857776642,85.1
0.389724537730217,91.1
0.4788390174508095,84.7
0.3364844545722008,89.5
0.39279309287667274,87.6
0.535682275891304,83.9
0.416083462536335,88.8
0.5277559533715248,80.2
0.356143519282341,90.0
0.4722135365009308,83.4
0.4376983940601349,87.43768693918246
0.4566679671406746,85.9
0.5371732637286186,84.8
0.3552386350929737,89.2
0.36053416877985,89.6
0.4851120188832283,87.2
0.33215879648923874,90.9
0.47307755798101425,85.6
0.3708032853901386,89.4
0.42286696285009384,88.1
0.38196923583745956,89.0
0.5023002699017525,85.5
0.42605211585760117,87.9
0.33431363105773926,89.4
0.41170744597911835,89.4
0.6533805280923843,81.3
0.4557822272181511,86.41358641358642
0.3053553141653538,90.5
0.40453072264790535,86.6
0.5634065568447113,82.7
0.39506419748067856,89.3
0.3449944220483303,89.9
0.45071909576654434,85.4
0.35159704461693764,90.0
0.33583034574985504,90.8
0.4261852540075779,86.0
0.5916159972548485,78.7
0.45440690964460373,85.6
0.3333593048155308,89.7
0.3905709907412529,89.4
0.5357506796717644,83.8
0.3278566859662533,86.2
0.39469242095947266,88.6
0.3430074006319046,91.4085914085914
0.28176144510507584,91.1
0.38130345940589905,87.9
0.2993187066167593,90.4
0.307973925024271,91.0
0.30837303400039673,92.9
0.36487990245223045,88.5
0.2927628345787525,91.4
0.3938492201268673,88.0
0.404641505330801,88.0
0.5215806886553764,82.8
0.3540610149502754,89.9
0.27330345660448074,90.0
0.34714097157120705,89.4
0.44262828305363655,83.2
0.32370438426733017,91.6
0.32744255289435387,89.4
0.43539261631667614,85.4
0.3641444891691208,89.4
0.35279468074440956,89.0
0.4323784187436104,87.1
0.42287633568048477,88.9
0.3616028130054474,86.2
0.5017356425523758,85.0
0.5471805706620216,81.9
0.39542192965745926,87.7
0.291967935860157,90.2
0.3213867358863354,90.6
0.5159210860729218,82.7
0.5548884719610214,81.3
0.32947980239987373,89.6
0.36635568737983704,90.8
0.4539496973156929,88.1
0.32063722237944603,88.5
0.30846549198031425,91.4
0.46145200729370117,86.3
0.4562731012701988,86.4
0.31364656239748,89.9
0.4674817845225334,85.8
0.34062109142541885,90.3
0.4405297264456749,87.2
0.4188936948776245,87.5
0.47473663091659546,88.0
0.5348113402724266,80.1
0.3849552758038044,91.9
0.254633866250515,92.41516966067864
0.3093402199447155,91.7
0.4079006537795067,86.3
0.6031023785471916,82.0
0.48802998661994934,85.4
0.4208550415933132,89.9
0.49776311963796616,86.3
0.32587187737226486,90.3
0.3907807990908623,88.3
0.4776003584265709,85.1
0.5516054928302765,81.0
0.43252093344926834,85.6
0.38301317021250725,87.7
0.2723492793738842,92.4
0.37179550528526306,90.0
0.4570900574326515,88.4
0.33262476325035095,88.1
0.4622942879796028,88.6
0.48517054319381714,86.6
0.4200578033924103,86.0
0.5184943154454231,85.4
0.2651343420147896,94.1
0.4004504755139351,87.9
0.36996399611234665,91.0
0.5935745388269424,79.2
0.4238676503300667,89.9
0.4487525075674057,87.5
0.5077804699540138,83.7
0.3987359553575516,84.7
0.3480299711227417,90.2
0.3040374554693699,91.6
0.3256980739533901,90.1
0.4846122972667217,83.3
0.5237154774367809,78.1
0.4669400081038475,81.5
0.3099650405347347,91.0
0.5019999742507935,83.8
0.5647353231906891,79.7
0.5364679545164108,83.4
0.3834811747074127,84.9
0.48881087452173233,86.8
0.47811171412467957,86.2
0.4126993678510189,86.7
0.3580533191561699,87.3
0.39506133645772934,86.7
0.4189492240548134,85.2
0.3898767698556185,86.1
0.4917304292321205,85.5
0.4640928655862808,85.0
0.28460196405649185,92.9
0.285645205527544,92.4075924075924
0.3764846920967102,87.5
0.4651351571083069,84.9
0.5070478916168213,86.1
0.4201696924865246,89.0
0.4075706750154495,86.3
0.5735156834125519,83.6
0.3978567086160183,84.4
0.4475141763687134,85.7
0.3138970248401165,89.8
0.37004417926073074,89.6
0.4825250133872032,86.3
0.41086702793836594,88.5
0.5263578146696091,83.8
0.3536371737718582,87.2
0.4193383827805519,87.3
0.30419569462537766,90.6
0.37139512598514557,88.4
0.3601556271314621,89.8
0.3427341431379318,89.1
0.5059024170041084,82.7
0.48980458825826645,85.0
0.5776722282171249,79.1
0.41128283739089966,88.2
0.3246450647711754,91.0
0.4619673602283001,88.9
0.4996166303753853,84.4
0.43053416162729263,86.4
0.42495857179164886,87.1
0.29672402143478394,91.8
0.42098881117999554,87.71228771228772
0.4130867123603821,88.8
0.3748871684074402,90.1
0.49777013063430786,83.5
0.5152925252914429,82.6
0.3302302770316601,89.5
0.29247988387942314,91.6
0.4654648080468178,85.4
0.46129345148801804,86.7
0.40909596532583237,90.1
0.283370278775692,91.8
0.365275539457798,89.8
0.388944324105978,87.6
0.5511374026536942,85.0
0.37511633336544037,89.4
0.4559229612350464,84.9
0.4710855595767498,85.1
0.4938081093132496,84.8
0.4973801374435425,81.2
0.5349172428250313,84.7
0.47406553477048874,86.6
0.42312344163656235,87.6
0.31853116676211357,91.8
0.24598496034741402,91.60839160839161
0.39638039097189903,87.6
0.3010394871234894,90.6
0.2894243486225605,91.6
0.5063534826040268,82.3
0.42753687128424644,86.3
0.464532770216465,84.6
0.32999310083687305,91.0
0.37486015260219574,87.4
0.4207450598478317,87.1
0.3667307272553444,90.0
0.2783956490457058,92.7
0.3716442808508873,91.4
0.45067019015550613,81.2
0.43631793558597565,89.6
0.522858202457428,81.71828171828172
0.41560816392302513,85.5
0.4173005595803261,86.0
0.3753711059689522,85.8
0.4417725056409836,87.1
0.5010781437158585,84.9
0.46097008883953094,88.3
0.3324749246239662,89.5
0.5647649094462395,83.0
0.3763330578804016,86.2
0.4362114369869232,85.5
0.3088538348674774,90.9
0.5575827434659004,84.5
0.40435783565044403,83.9
0.5393923670053482,82.4
0.38014253601431847,88.7
0.352150596678257,88.7
0.46722961217164993,85.6
0.44118211418390274,83.6
0.5202467404305935,85.2
0.5432101041078568,82.3
0.46559567749500275,85.3
0.5012297108769417,86.4
0.4307963475584984,85.8
0.45988354086875916,87.3
0.43210457265377045,87.1
0.3814372569322586,87.31268731268732
0.3018438592553139,89.9
0.46480098739266396,83.2
0.32364559918642044,89.3
0.6515600383281708,82.9
0.49606966227293015,88.3
0.4173302464187145,90.5
0.4027026295661926,88.1
0.33393383026123047,92.5
0.2944578155875206,90.91816367265469
0.37156133353710175,88.3
0.5099134370684624,86.1
0.40734565258026123,84.8
0.544677272439003,84.8
0.3946730047464371,88.6113886113886
0.37313689291477203,87.2
0.5066925585269928,85.5
0.32675962522625923,90.2
0.5160535275936127,84.7
0.542667418718338,82.11788211788212
0.43924660980701447,85.8
0.2502349019050598,90.7
0.3342266231775284,90.9
0.35409262031316757,88.7
0.32831789553165436,91.9
0.44368579238653183,84.8
0.525934599339962,86.4
0.41428660601377487,84.4
0.3152211457490921,90.0
0.4531877487897873,88.0
0.4623119756579399,86.8
0.30496008321642876,91.1
0.3011205792427063,92.2
0.31716176122426987,90.2
0.44967402145266533,84.5
0.3193903714418411,88.7
0.47370748966932297,84.9
0.2510799616575241,91.2
0.510033868253231,86.5
0.3160223923623562,90.2
0.4756159782409668,80.9
0.43291210383176804,86.9
0.325603473931551,91.92422731804587
0.5008229613304138,84.1
0.38644714653491974,88.3
0.397829107940197,88.5
0.4200747609138489,86.93918245264207
0.432905837893486,85.8
0.3598025441169739,91.3
0.2621413879096508,91.2
0.43643079325556755,88.0
0.29588115960359573,92.0
0.5823059976100922,82.3
0.36760110780596733,89.9
0.38125038146972656,87.3
0.5978834331035614,79.4
0.3354551251977682,89.5
0.876848004758358,71.9
0.34801022708415985,88.9
0.348209660500288,88.8
0.4182955175638199,86.0
0.3586663492023945,89.5
0.45448415726423264,86.5
0.4446411170065403,86.2
0.3467969074845314,90.6
0.3917296268045902,88.0
0.47455333918333054,83.9
0.33466288074851036,90.0
0.4371941611170769,85.5
0.3597337380051613,91.5
0.4595823138952255,85.9
0.34909556061029434,88.7
0.36921390518546104,89.0
0.4135793298482895,87.4
0.3867381624877453,89.1
0.4222661517560482,85.9
0.3447341248393059,87.5
0.7733619883656502,80.02049180327869
0.30202992260456085,90.3
0.34102199226617813,91.2
