loss,accuracy
1.9881641566753387,79.3
2.360327184200287,75.6
2.438018247485161,77.8
2.275787115097046,76.7
2.2355644404888153,77.5
2.7639254331588745,70.9
3.3140822052955627,66.8
1.6523362696170807,82.3
2.066349744796753,79.6
2.253735899925232,75.3
2.1112232208251953,76.9
2.303789973258972,75.1
2.7088439762592316,73.1
1.988543152809143,79.6
3.362934798002243,66.3
2.058280795812607,80.8
1.65331569314003,82.4
2.9009914994239807,71.9
2.9882065057754517,71.0
2.0476172268390656,80.2
2.167934149503708,78.3
2.0750761330127716,79.7
2.606914460659027,73.5
1.8635174632072449,82.0
2.655850261449814,72.2
3.2541964650154114,68.3
3.2967604398727417,69.4
2.5680128037929535,75.9
3.208810329437256,68.9
2.050177425146103,79.0
2.4046234786510468,73.8
2.297146886587143,76.8
3.0218748450279236,70.6
2.155395746231079,77.7
3.742035150527954,66.6
2.07565638422966,78.4
2.52297380566597,76.9
1.9382010698318481,79.8
2.502201497554779,78.1
2.324973315000534,75.0
2.0442269146442413,76.9
2.1867412626743317,76.5
2.4683839678764343,77.1
3.7820165157318115,65.4
2.504942536354065,74.2
2.443898856639862,74.7
2.4473001658916473,73.9
1.722281575202942,82.4
3.274073511362076,68.9
3.0087218284606934,68.63136863136863
2.33304163813591,76.5
3.0142646431922913,71.8
2.2314141988754272,77.6
2.706797182559967,72.4
3.6322537064552307,62.7
2.2368568181991577,77.6
2.60739466547966,73.0
2.3661796748638153,76.2
2.643704891204834,71.62837162837162
2.227952301502228,77.8
2.0823395550251007,78.2
1.7682398557662964,81.6
1.9747339189052582,81.0
2.4226825833320618,75.6
2.848278284072876,67.9
2.4461424946784973,75.1
1.8588897287845612,80.8
2.175352782011032,76.1
2.938782811164856,69.9
1.8506553769111633,80.7
1.9878396689891815,80.3
2.432051330804825,75.9
1.602079689502716,84.3
1.8992944657802582,82.8
1.7571089267730713,79.6
1.7828897833824158,81.2
2.8866502046585083,73.2
2.316930502653122,76.1
2.745318591594696,73.1
2.1266212165355682,80.4
1.7093602418899536,80.6
2.965640962123871,69.7
2.1006869673728943,77.0
2.470998853445053,74.9
1.3410961031913757,84.9
2.522944211959839,72.1
2.664516717195511,73.4
2.6998093128204346,72.0
1.3951350152492523,85.6
2.202348470687866,77.1
2.4911089539527893,75.8
2.271259129047394,77.5
2.10784712433815,74.6
1.8069440722465515,81.9
3.1797668039798737,67.5
2.8304815888404846,70.6
2.3576388359069824,75.0
2.0083982944488525,79.3
2.219330608844757,78.0
2.8938762545585632,69.9
2.77413746714592,74.8
2.6432312726974487,73.6
2.254412591457367,78.7
2.5219887793064117,73.2
1.4778950810432434,84.0
3.072665184736252,68.6
2.0609242022037506,74.7
2.6167563796043396,75.7
2.2274922132492065,76.9
1.9693605601787567,80.4
2.603126883506775,74.2
2.5425034761428833,71.5
1.9939887821674347,79.7
3.0369975566864014,69.0
1.7328635156154633,82.0
1.709612399339676,82.1
2.875034809112549,70.3
2.921532243490219,71.5
1.8888610005378723,80.7
1.7824283987283707,81.5
2.179562568664551,77.2
2.0402773916721344,80.7
2.8323573768138885,70.5
1.8272454142570496,79.9
2.7806086242198944,69.1
3.030238837003708,69.5
2.1994229555130005,77.5
2.3842360973358154,73.2
2.6590963006019592,73.7
2.637918710708618,75.1
2.0060864686965942,78.8
2.24565652012825,77.7
2.3452712297439575,77.1
2.0471100211143494,78.8
3.091486394405365,68.0
3.1855795681476593,70.0
2.0452711284160614,78.1
2.05239537358284,79.4
1.7790685594081879,80.5
2.660986065864563,74.9
2.8611893951892853,71.7
3.0062146186828613,69.0
2.6578645408153534,72.1
1.8933740556240082,81.4
2.191422075033188,79.2
2.7522823810577393,69.7
2.5162791311740875,74.8
2.009654253721237,78.1
2.774556815624237,69.8
1.519629716873169,82.8
2.0516257584095,77.2
2.3589201271533966,75.9
2.989156097173691,71.6
2.480492442846298,74.7
2.429102271795273,77.0
1.7536270916461945,81.5
2.161125510931015,76.2
1.5027949810028076,83.5
1.948584794998169,79.8
2.4951912462711334,73.9
2.5524898171424866,73.2
2.5931767225265503,73.7
2.181720942258835,77.4
2.283878892660141,78.6
1.9699510335922241,79.1
2.1936964988708496,77.8
2.1021526753902435,78.9
2.624897003173828,73.4
2.4034588634967804,74.9
2.8069300949573517,70.5
3.069877564907074,70.0
1.9674648642539978,79.8
2.44174587726593,78.6
1.7208918631076813,82.5
3.382718324661255,67.1
2.2789520025253296,77.2
2.4173869490623474,77.1
2.7733343839645386,72.0
2.6209474205970764,73.5
2.6563036739826202,73.7
3.1494226455688477,70.2
1.9391978681087494,79.0
1.951122522354126,80.8
2.31676322221756,76.3
2.625680387020111,72.7
2.8939324021339417,71.1
2.062473714351654,79.5
2.2204277515411377,77.2
1.9886555075645447,80.3
1.6473073661327362,82.6
2.5833652317523956,73.7
3.0391893088817596,71.1
2.606411933898926,72.2
2.2978508472442627,74.1
3.531347870826721,64.0
1.9609377086162567,81.3
